SlNo,Product,URL,Environment,TCID,TestCaseDescription,Browser,Result,Investigations,TestStartedTime,TestEndedTime,Timetakentofinish,
345,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,FailedStep: enter OTP "123456"--->ErrorDescription:  element not interactable  (Session info: chrome=83.0.4103.61)Build info: version: '3.141.59' revision: 'e82be7d358' time: '2018-11-14T08:25:48'System info: host: 'ip-10-185-185-168.ec2.internal' ip: '10.185.185.168' os.name: 'Linux' os.arch: 'amd64' os.version: '3.10.0-1127.8.2.el7.x86_64' java.version: '1.8.0_252'Driver info: org.openqa.selenium.chrome.ChromeDriverCapabilities {acceptInsecureCerts: false browserName: chrome browserVersion: 83.0.4103.61 chrome: {chromedriverVersion: 83.0.4103.39 (ccbf011cb2d2b... userDataDir: /tmp/.com.google.Chrome.avwwfN},2020-06-10 10:30:49 PM,2020-06-10 09:31:27 PM,00:00:38,
346,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-10 11:30:04 PM,2020-06-10 11:30:15 PM,00:00:11,
347,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-10 11:30:16 PM,2020-06-10 11:30:47 PM,00:00:31,
348,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-10 11:30:49 PM,2020-06-10 11:31:26 PM,00:00:37,
349,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-11 12:30:05 AM,2020-06-11 12:30:15 AM,00:00:10,
350,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-11 12:30:16 AM,2020-06-11 12:30:48 AM,00:00:32,
351,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-11 12:30:49 AM,2020-06-11 12:31:27 AM,00:00:38,
352,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-11 01:30:05 AM,2020-06-11 01:30:15 AM,00:00:10,
353,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-11 01:30:17 AM,2020-06-11 01:30:48 AM,00:00:31,
354,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-11 01:30:49 AM,2020-06-11 01:31:27 AM,00:00:38,
355,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-11 02:30:05 AM,2020-06-11 02:30:20 AM,00:00:15,
356,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-11 02:30:22 AM,2020-06-11 02:30:53 AM,00:00:31,
357,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-11 02:30:54 AM,2020-06-11 02:31:32 AM,00:00:38,
358,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-11 03:30:05 AM,2020-06-11 03:30:15 AM,00:00:10,
359,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-11 03:30:17 AM,2020-06-11 03:30:48 AM,00:00:31,
360,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-11 03:30:49 AM,2020-06-11 03:31:27 AM,00:00:38,
361,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-11 04:30:05 AM,2020-06-11 04:30:15 AM,00:00:10,
362,DrySign,icdemo-drysign.exela.global,Demo,TC002,ExelaAuth service (Login),chrome,PASSED,,2020-06-11 04:30:17 AM,2020-06-11 04:30:48 AM,00:00:31,
363,DrySign,icdemo-drysign.exela.global,Demo,TC003,eFA service (Download),chrome,PASSED,,2020-06-11 04:30:49 AM,2020-06-11 04:31:27 AM,00:00:38,
364,DrySign,icdemo-drysign.exela.global,Demo,TC001,Tomcat service (URL),chrome,PASSED,,2020-06-11 05:30:05 AM,2020-06-11 05:30:15 AM,00:00:10,
